Year,Month,Year-Month,Value
1980,1,1980-1-01,0.0
1980,2,1980-2-01,-0.108
1980,3,1980-3-01,-0.216
1980,4,1980-4-01,-0.324
1980,5,1980-5-01,-0.432
1980,6,1980-6-01,-0.54
1980,7,1980-7-01,-0.648
1980,8,1980-8-01,-0.756
1980,9,1980-9-01,-0.864
1980,10,1980-10-01,-0.972
1980,11,1980-11-01,-1.08
1980,12,1980-12-01,-1.188
1981,1,1981-1-01,-1.3
1981,2,1981-2-01,-1.442
1981,3,1981-3-01,-1.584
1981,4,1981-4-01,-1.726
1981,5,1981-5-01,-1.868
1981,6,1981-6-01,-2.01
1981,7,1981-7-01,-2.152
1981,8,1981-8-01,-2.294
1981,9,1981-9-01,-2.436
1981,10,1981-10-01,-2.578
1981,11,1981-11-01,-2.72
1981,12,1981-12-01,-2.862
1982,1,1982-1-01,-3.0
1982,2,1982-2-01,-2.627
1982,3,1982-3-01,-2.254
1982,4,1982-4-01,-1.881
1982,5,1982-5-01,-1.508
1982,6,1982-6-01,-1.135
1982,7,1982-7-01,-0.762
1982,8,1982-8-01,-0.389
1982,9,1982-9-01,-0.016
1982,10,1982-10-01,0.357
1982,11,1982-11-01,0.73
1982,12,1982-12-01,1.103
1983,1,1983-1-01,1.48
1983,2,1983-2-01,2.603
1983,3,1983-3-01,3.726
1983,4,1983-4-01,4.849
1983,5,1983-5-01,5.972
1983,6,1983-6-01,7.095
1983,7,1983-7-01,8.218
1983,8,1983-8-01,9.341
1983,9,1983-9-01,10.464
1983,10,1983-10-01,11.587
1983,11,1983-11-01,12.71
1983,12,1983-12-01,13.833
1984,1,1984-1-01,14.96
1984,2,1984-2-01,15.611
1984,3,1984-3-01,16.262
1984,4,1984-4-01,16.913
1984,5,1984-5-01,17.564
1984,6,1984-6-01,18.215
1984,7,1984-7-01,18.866
1984,8,1984-8-01,19.517
1984,9,1984-9-01,20.168
1984,10,1984-10-01,20.819
1984,11,1984-11-01,21.47
1984,12,1984-12-01,22.121
1985,1,1985-1-01,22.77
1985,2,1985-2-01,23.324
1985,3,1985-3-01,23.878
1985,4,1985-4-01,24.432
1985,5,1985-5-01,24.986
1985,6,1985-6-01,25.54
1985,7,1985-7-01,26.094
1985,8,1985-8-01,26.648
1985,9,1985-9-01,27.202
1985,10,1985-10-01,27.756
1985,11,1985-11-01,28.31
1985,12,1985-12-01,28.864
1986,1,1986-1-01,29.42
1986,2,1986-2-01,30.318
1986,3,1986-3-01,31.216
1986,4,1986-4-01,32.114
1986,5,1986-5-01,33.012
1986,6,1986-6-01,33.91
1986,7,1986-7-01,34.808
1986,8,1986-8-01,35.706
1986,9,1986-9-01,36.604
1986,10,1986-10-01,37.502
1986,11,1986-11-01,38.4
1986,12,1986-12-01,39.298
1987,1,1987-1-01,40.2
1987,2,1987-2-01,41.218
1987,3,1987-3-01,42.236
1987,4,1987-4-01,43.254
1987,5,1987-5-01,44.272
1987,6,1987-6-01,45.29
1987,7,1987-7-01,46.308
1987,8,1987-8-01,47.326
1987,9,1987-9-01,48.344
1987,10,1987-10-01,49.362
1987,11,1987-11-01,50.38
1987,12,1987-12-01,51.398
1988,1,1988-1-01,52.42
1988,2,1988-2-01,52.956
1988,3,1988-3-01,53.492
1988,4,1988-4-01,54.028
1988,5,1988-5-01,54.564
1988,6,1988-6-01,55.1
1988,7,1988-7-01,55.636
1988,8,1988-8-01,56.172
1988,9,1988-9-01,56.708
1988,10,1988-10-01,57.244
1988,11,1988-11-01,57.78
1988,12,1988-12-01,58.316
1989,1,1989-1-01,58.85
1989,2,1989-2-01,59.177
1989,3,1989-3-01,59.504
1989,4,1989-4-01,59.831
1989,5,1989-5-01,60.158
1989,6,1989-6-01,60.485
1989,7,1989-7-01,60.812
1989,8,1989-8-01,61.139
1989,9,1989-9-01,61.466
1989,10,1989-10-01,61.793
1989,11,1989-11-01,62.12
1989,12,1989-12-01,62.447
1990,1,1990-1-01,62.77
1990,2,1990-2-01,62.97
1990,3,1990-3-01,63.17
1990,4,1990-4-01,63.37
1990,5,1990-5-01,63.57
1990,6,1990-6-01,63.77
1990,7,1990-7-01,63.97
1990,8,1990-8-01,64.17
1990,9,1990-9-01,64.37
1990,10,1990-10-01,64.57
1990,11,1990-11-01,64.77
1990,12,1990-12-01,64.97
1991,1,1991-1-01,65.17
1991,2,1991-2-01,65.386
1991,3,1991-3-01,65.602
1991,4,1991-4-01,65.818
1991,5,1991-5-01,66.034
1991,6,1991-6-01,66.25
1991,7,1991-7-01,66.466
1991,8,1991-8-01,66.682
1991,9,1991-9-01,66.898
1991,10,1991-10-01,67.114
1991,11,1991-11-01,67.33
1991,12,1991-12-01,67.546
1992,1,1992-1-01,67.76
1992,2,1992-2-01,67.961
1992,3,1992-3-01,68.162
1992,4,1992-4-01,68.363
1992,5,1992-5-01,68.564
1992,6,1992-6-01,68.765
1992,7,1992-7-01,68.966
1992,8,1992-8-01,69.167
1992,9,1992-9-01,69.368
1992,10,1992-10-01,69.569
1992,11,1992-11-01,69.77
1992,12,1992-12-01,69.971
1993,1,1993-1-01,70.17
1993,2,1993-2-01,70.543
1993,3,1993-3-01,70.916
1993,4,1993-4-01,71.289
1993,5,1993-5-01,71.662
1993,6,1993-6-01,72.035
1993,7,1993-7-01,72.408
1993,8,1993-8-01,72.781
1993,9,1993-9-01,73.154
1993,10,1993-10-01,73.527
1993,11,1993-11-01,73.9
1993,12,1993-12-01,74.273
1994,1,1994-1-01,74.65
1994,2,1994-2-01,75.267
1994,3,1994-3-01,75.884
1994,4,1994-4-01,76.501
1994,5,1994-5-01,77.118
1994,6,1994-6-01,77.735
1994,7,1994-7-01,78.352
1994,8,1994-8-01,78.969
1994,9,1994-9-01,79.586
1994,10,1994-10-01,80.203
1994,11,1994-11-01,80.82
1994,12,1994-12-01,81.437
1995,1,1995-1-01,82.06
1995,2,1995-2-01,82.944
1995,3,1995-3-01,83.828
1995,4,1995-4-01,84.712
1995,5,1995-5-01,85.596
1995,6,1995-6-01,86.48
1995,7,1995-7-01,87.364
1995,8,1995-8-01,88.248
1995,9,1995-9-01,89.132
1995,10,1995-10-01,90.016
1995,11,1995-11-01,90.9
1995,12,1995-12-01,91.784
1996,1,1996-1-01,92.67
1996,2,1996-2-01,92.965
1996,3,1996-3-01,93.26
1996,4,1996-4-01,93.555
1996,5,1996-5-01,93.85
1996,6,1996-6-01,94.145
1996,7,1996-7-01,94.44
1996,8,1996-8-01,94.735
1996,9,1996-9-01,95.03
1996,10,1996-10-01,95.325
1996,11,1996-11-01,95.62
1996,12,1996-12-01,95.915
1997,1,1997-1-01,96.21
1997,2,1997-2-01,96.406
1997,3,1997-3-01,96.602
1997,4,1997-4-01,96.798
1997,5,1997-5-01,96.994
1997,6,1997-6-01,97.19
1997,7,1997-7-01,97.386
1997,8,1997-8-01,97.582
1997,9,1997-9-01,97.778
1997,10,1997-10-01,97.974
1997,11,1997-11-01,98.17
1997,12,1997-12-01,98.366
1998,1,1998-1-01,98.56
1998,2,1998-2-01,99.129
1998,3,1998-3-01,99.698
1998,4,1998-4-01,100.267
1998,5,1998-5-01,100.836
1998,6,1998-6-01,101.405
1998,7,1998-7-01,101.974
1998,8,1998-8-01,102.543
1998,9,1998-9-01,103.112
1998,10,1998-10-01,103.681
1998,11,1998-11-01,104.25
1998,12,1998-12-01,104.819
1999,1,1999-1-01,105.39
1999,2,1999-2-01,106.194
1999,3,1999-3-01,106.998
1999,4,1999-4-01,107.802
1999,5,1999-5-01,108.606
1999,6,1999-6-01,109.41
1999,7,1999-7-01,110.214
1999,8,1999-8-01,111.018
1999,9,1999-9-01,111.822
1999,10,1999-10-01,112.626
1999,11,1999-11-01,113.43
1999,12,1999-12-01,114.234
2000,1,2000-1-01,115.04
2000,2,2000-2-01,115.369
2000,3,2000-3-01,115.698
2000,4,2000-4-01,116.027
2000,5,2000-5-01,116.356
2000,6,2000-6-01,116.685
2000,7,2000-7-01,117.014
2000,8,2000-8-01,117.343
2000,9,2000-9-01,117.672
2000,10,2000-10-01,118.001
2000,11,2000-11-01,118.33
2000,12,2000-12-01,118.659
2001,1,2001-1-01,118.99
2001,2,2001-2-01,119.718
2001,3,2001-3-01,120.446
2001,4,2001-4-01,121.174
2001,5,2001-5-01,121.902
2001,6,2001-6-01,122.63
2001,7,2001-7-01,123.358
2001,8,2001-8-01,124.086
2001,9,2001-9-01,124.814
2001,10,2001-10-01,125.542
2001,11,2001-11-01,126.27
2001,12,2001-12-01,126.998
2002,1,2002-1-01,127.72
2002,2,2002-2-01,128.933
2002,3,2002-3-01,130.146
2002,4,2002-4-01,131.359
2002,5,2002-5-01,132.572
2002,6,2002-6-01,133.785
2002,7,2002-7-01,134.998
2002,8,2002-8-01,136.211
2002,9,2002-9-01,137.424
2002,10,2002-10-01,138.637
2002,11,2002-11-01,139.85
2002,12,2002-12-01,141.063
2003,1,2003-1-01,142.28
2003,2,2003-2-01,143.988
2003,3,2003-3-01,145.696
2003,4,2003-4-01,147.404
2003,5,2003-5-01,149.112
2003,6,2003-6-01,150.82
2003,7,2003-7-01,152.528
2003,8,2003-8-01,154.236
2003,9,2003-9-01,155.944
2003,10,2003-10-01,157.652
2003,11,2003-11-01,159.36
2003,12,2003-12-01,161.068
2004,1,2004-1-01,162.77
2004,2,2004-2-01,164.007
2004,3,2004-3-01,165.244
2004,4,2004-4-01,166.481
2004,5,2004-5-01,167.718
2004,6,2004-6-01,168.955
2004,7,2004-7-01,170.192
2004,8,2004-8-01,171.429
2004,9,2004-9-01,172.666
2004,10,2004-10-01,173.903
2004,11,2004-11-01,175.14
2004,12,2004-12-01,176.377
2005,1,2005-1-01,177.62
2005,2,2005-2-01,178.708
2005,3,2005-3-01,179.796
2005,4,2005-4-01,180.884
2005,5,2005-5-01,181.972
2005,6,2005-6-01,183.06
2005,7,2005-7-01,184.148
2005,8,2005-8-01,185.236
2005,9,2005-9-01,186.324
2005,10,2005-10-01,187.412
2005,11,2005-11-01,188.5
2005,12,2005-12-01,189.588
2006,1,2006-1-01,190.68
2006,2,2006-2-01,191.891
2006,3,2006-3-01,193.102
2006,4,2006-4-01,194.313
2006,5,2006-5-01,195.524
2006,6,2006-6-01,196.735
2006,7,2006-7-01,197.946
2006,8,2006-8-01,199.157
2006,9,2006-9-01,200.368
2006,10,2006-10-01,201.579
2006,11,2006-11-01,202.79
2006,12,2006-12-01,204.001
2007,1,2007-1-01,205.21
2007,2,2007-2-01,205.673
2007,3,2007-3-01,206.136
2007,4,2007-4-01,206.599
2007,5,2007-5-01,207.062
2007,6,2007-6-01,207.525
2007,7,2007-7-01,207.988
2007,8,2007-8-01,208.451
2007,9,2007-9-01,208.914
2007,10,2007-10-01,209.377
2007,11,2007-11-01,209.84
2007,12,2007-12-01,210.303
2008,1,2008-1-01,210.77
2008,2,2008-2-01,210.153
2008,3,2008-3-01,209.536
2008,4,2008-4-01,208.919
2008,5,2008-5-01,208.302
2008,6,2008-6-01,207.685
2008,7,2008-7-01,207.068
2008,8,2008-8-01,206.451
2008,9,2008-9-01,205.834
2008,10,2008-10-01,205.217
2008,11,2008-11-01,204.6
2008,12,2008-12-01,203.983
2009,1,2009-1-01,203.36
2009,2,2009-2-01,205.293
2009,3,2009-3-01,207.226
2009,4,2009-4-01,209.159
2009,5,2009-5-01,211.092
2009,6,2009-6-01,213.025
2009,7,2009-7-01,214.958
2009,8,2009-8-01,216.891
2009,9,2009-9-01,218.824
2009,10,2009-10-01,220.757
2009,11,2009-11-01,222.69
2009,12,2009-12-01,224.623
2010,1,2010-1-01,226.56
2010,2,2010-2-01,227.584
2010,3,2010-3-01,228.608
2010,4,2010-4-01,229.632
2010,5,2010-5-01,230.656
2010,6,2010-6-01,231.68
2010,7,2010-7-01,232.704
2010,8,2010-8-01,233.728
2010,9,2010-9-01,234.752
2010,10,2010-10-01,235.776
2010,11,2010-11-01,236.8
2010,12,2010-12-01,237.824
2011,1,2011-1-01,238.85
2011,2,2011-2-01,239.406
2011,3,2011-3-01,239.962
2011,4,2011-4-01,240.518
2011,5,2011-5-01,241.074
2011,6,2011-6-01,241.63
2011,7,2011-7-01,242.186
2011,8,2011-8-01,242.742
2011,9,2011-9-01,243.298
2011,10,2011-10-01,243.854
2011,11,2011-11-01,244.41
2011,12,2011-12-01,244.966
2012,1,2012-1-01,245.52
2012,2,2012-2-01,246.347
2012,3,2012-3-01,247.174
2012,4,2012-4-01,248.001
2012,5,2012-5-01,248.828
2012,6,2012-6-01,249.655
2012,7,2012-7-01,250.482
2012,8,2012-8-01,251.309
2012,9,2012-9-01,252.136
2012,10,2012-10-01,252.963
2012,11,2012-11-01,253.79
2012,12,2012-12-01,254.617
2013,1,2013-1-01,255.45
2013,2,2013-2-01,255.812
2013,3,2013-3-01,256.174
2013,4,2013-4-01,256.536
2013,5,2013-5-01,256.898
2013,6,2013-6-01,257.26
2013,7,2013-7-01,257.622
2013,8,2013-8-01,257.984
2013,9,2013-9-01,258.346
2013,10,2013-10-01,258.708
2013,11,2013-11-01,259.07
2013,12,2013-12-01,259.432
2014,1,2014-1-01,259.79
2014,2,2014-2-01,260.117
2014,3,2014-3-01,260.444
2014,4,2014-4-01,260.771
2014,5,2014-5-01,261.098
2014,6,2014-6-01,261.425
2014,7,2014-7-01,261.752
2014,8,2014-8-01,262.079
2014,9,2014-9-01,262.406
2014,10,2014-10-01,262.733
2014,11,2014-11-01,263.06
2014,12,2014-12-01,263.387
2015,1,2015-1-01,263.71
2015,2,2015-2-01,264.329
2015,3,2015-3-01,264.948
2015,4,2015-4-01,265.567
2015,5,2015-5-01,266.186
2015,6,2015-6-01,266.805
2015,7,2015-7-01,267.424
2015,8,2015-8-01,268.043
2015,9,2015-9-01,268.662
2015,10,2015-10-01,269.281
2015,11,2015-11-01,269.9
2015,12,2015-12-01,270.519
2016,1,2016-1-01,271.14
2016,2,2016-2-01,271.958
2016,3,2016-3-01,272.776
2016,4,2016-4-01,273.594
2016,5,2016-5-01,274.412
2016,6,2016-6-01,275.23
2016,7,2016-7-01,276.048
2016,8,2016-8-01,276.866
2016,9,2016-9-01,277.684
2016,10,2016-10-01,278.502
2016,11,2016-11-01,279.32
2016,12,2016-12-01,280.138
2017,1,2017-1-01,280.96
2017,2,2017-2-01,282.278
2017,3,2017-3-01,283.596
2017,4,2017-4-01,284.914
2017,5,2017-5-01,286.232
2017,6,2017-6-01,287.55
2017,7,2017-7-01,288.868
2017,8,2017-8-01,290.186
2017,9,2017-9-01,291.504
2017,10,2017-10-01,292.822
2017,11,2017-11-01,294.14
2017,12,2017-12-01,295.458
2018,1,2018-1-01,296.77
2018,2,2018-2-01,297.409
2018,3,2018-3-01,298.048
2018,4,2018-4-01,298.687
2018,5,2018-5-01,299.326
2018,6,2018-6-01,299.965
2018,7,2018-7-01,300.604
2018,8,2018-8-01,301.243
2018,9,2018-9-01,301.882
2018,10,2018-10-01,302.521
2018,11,2018-11-01,303.16
2018,12,2018-12-01,303.799
