observation,Linear_Regression,Penalised_Linear_Regression_Lasso_min,Penalised_Linear_Regression_Lasso_1se,Penalised_Polynomial_Regression_Lasso_min,Penalised_Polynomial_Regression_Lasso_1se,Random_Forest,Neural_Networks,Extent
1,0.8020271,0.8148557,0.81715,0.8789254,0.8761027,0.88095767,0.92048934,0.902
2,0.91233,0.9298622,0.9481167,0.8519844,0.8768113,0.9476685,0.9593172,0.99
3,0.9946851,1.0071081,1.0216316,0.9614883,0.9430864,0.95902892,0.96172389,0.996
4,1.0173709,1.0262439,1.0342842,0.9341434,0.9247618,0.92138508,0.91888895,0.947
5,0.8194401,0.8266752,0.8310445,0.7811398,0.8031957,0.80249875,0.80506171,0.816
6,0.6311376,0.6363877,0.6310517,0.6676955,0.668555,0.69688733,0.6965636,0.689
7,0.5011734,0.5081429,0.5031948,0.5176881,0.5282934,0.620412,0.51526083,0.522
8,0.4021824,0.4090266,0.4075573,0.3219736,0.3055113,0.36359983,0.32970922,0.352
9,0.3866603,0.3914302,0.3974149,0.2807037,0.2912308,0.31053442,0.26407702,0.327
10,0.471358,0.476312,0.4771016,0.3849773,0.3974512,0.41113475,0.42687011,0.448
11,0.6231311,0.6280874,0.6192433,0.6197886,0.6131745,0.60891083,0.65417001,0.624
12,0.7351547,0.7392311,0.7203379,0.7181426,0.7181741,0.76873217,0.7797822,0.8
13,0.7143867,0.7326151,0.7395216,0.7777495,0.7664526,0.87757692,0.88241744,0.906
14,1.0067882,1.0224016,1.032502,0.8830238,0.9109332,0.95233317,0.96793407,0.961
15,0.9847321,0.9974075,1.0064343,0.9381272,0.9314894,0.95954408,0.97457293,0.963
16,0.9640499,0.9698633,0.9698176,0.9178572,0.9209962,0.91815275,0.91553351,0.914
17,0.7485378,0.7522451,0.7490637,0.7296458,0.7401416,0.79972583,0.79801587,0.817
18,0.6275462,0.6318444,0.6260789,0.6753179,0.6726499,0.6845245,0.69143609,0.708
19,0.5018798,0.5067618,0.4984408,0.5034041,0.5134088,0.56577692,0.50967661,0.535
20,0.3907498,0.3963278,0.3956016,0.2983069,0.2832715,0.32813683,0.29765629,0.341
21,0.344025,0.3487143,0.3582054,0.2394702,0.2513858,0.291002,0.24555312,0.285
22,0.4260891,0.4332738,0.4420418,0.3719804,0.3855705,0.40972233,0.43189569,0.423
23,0.5937301,0.6035397,0.6072943,0.6483814,0.6418053,0.64386683,0.65268061,0.588
24,0.7362794,0.752136,0.7537295,0.7573565,0.7627894,0.74804933,0.76456335,0.78
25,0.9117088,0.9242034,0.9286246,0.8930333,0.9094535,0.903645,0.94446702,0.927
26,0.9112485,0.9220942,0.9264233,0.849885,0.8749245,0.95068292,0.95288204,0.99
27,0.979744,0.9860748,0.989591,0.9593749,0.9588958,0.95906167,0.96066796,0.996
28,1.0364758,1.0424639,1.0449559,0.9416224,0.9397451,0.92150158,0.91849228,0.95
29,0.8749547,0.8789093,0.8779033,0.8104536,0.835238,0.80396133,0.80717995,0.831
30,0.6602919,0.6631944,0.6573263,0.685232,0.6896495,0.70671708,0.70412977,0.712
31,0.5153542,0.5170531,0.5015443,0.4837997,0.4932407,0.54928567,0.50799384,0.543
32,0.4105764,0.4129776,0.4058462,0.2958465,0.279529,0.325845,0.33376978,0.365
33,0.359605,0.3634578,0.3709086,0.2369317,0.2440523,0.29872483,0.25728929,0.298
34,0.5158024,0.5189837,0.5227425,0.4392565,0.4591882,0.434497,0.43682617,0.467
35,0.5938147,0.5943594,0.5841781,0.5981217,0.5986074,0.58758108,0.58832889,0.644
36,0.6601198,0.667631,0.6544075,0.676426,0.6673024,0.7640325,0.79271853,0.804
37,0.8658138,0.8749915,0.871589,0.8949069,0.892787,0.88688467,0.90398396,0.908
38,0.9532671,0.9614723,0.9597545,0.8653116,0.8902494,0.95339692,0.96264845,0.994
39,0.9887734,0.9960237,1.0033965,0.9717752,0.9728907,0.96158608,0.97072519,1
40,0.9336987,0.9365995,0.9331005,0.8853774,0.8849354,0.915027,0.89775419,0.927
41,0.8276613,0.8265222,0.8145041,0.7935167,0.8058179,0.7841665,0.80050201,0.792
42,0.6429888,0.642409,0.6265287,0.6692167,0.6631215,0.682109,0.69130624,0.697
43,0.504766,0.5051294,0.4837699,0.4604339,0.4706951,0.508019,0.47378468,0.559
44,0.4191519,0.4213105,0.407439,0.2729055,0.2582647,0.302998,0.28817541,0.369
45,0.4032243,0.40532,0.4060044,0.2649362,0.2771529,0.29122683,0.26001726,0.305
46,0.5283759,0.5278256,0.5193281,0.397969,0.4198729,0.42677675,0.42851459,0.46
47,0.6243553,0.6292857,0.6185727,0.6068295,0.599157,0.60310733,0.64345129,0.63
48,0.655443,0.6607657,0.6404534,0.6608292,0.647536,0.74221458,0.7734097,0.777
49,0.8271448,0.8299158,0.8091254,0.8486356,0.8323848,0.89935133,0.9102148,0.871
50,1.2122135,1.1640538,1.1609588,0.9524609,0.9964358,0.96598317,0.98572075,0.937
51,1.1337148,1.1013235,1.1066689,0.9868714,0.9693223,0.980927,0.98431103,0.959
52,1.1663996,1.1174273,1.1076569,0.9775596,0.9838394,0.94927,0.93017741,0.914
53,0.9194611,0.884861,0.8717143,0.8119608,0.8311406,0.79941733,0.79477878,0.8
54,0.7063684,0.6647679,0.6440091,0.6629106,0.6576547,0.685711,0.68100869,0.685
55,0.5605465,0.5219849,0.5016801,0.4843983,0.4940498,0.52766,0.52625904,0.512
56,0.4660423,0.4347931,0.4191094,0.2872093,0.2718511,0.350673,0.36267788,0.335
57,0.3577614,0.3382423,0.3381901,0.1889459,0.1992228,0.27650042,0.29013259,0.259
58,0.5046396,0.4758898,0.4681748,0.3539916,0.3678739,0.43154175,0.44621794,0.399
59,0.7963747,0.7519326,0.7381046,0.7220346,0.7250115,0.6529505,0.62918658,0.581
60,0.9086767,0.8464299,0.8235226,0.7913322,0.8027082,0.74977225,0.7475083,0.752
61,0.8809118,0.842146,0.8307999,0.8128247,0.810655,0.902236,0.85256735,0.891
62,1.1132732,1.0572236,1.0464943,0.901017,0.9366327,0.96636117,0.97070992,0.95
63,1.17191,1.1247144,1.1172532,0.9758652,0.9541854,0.98039175,0.97315802,0.984
64,1.2626562,1.2093975,1.1975535,1.0088026,0.9968234,0.94544792,0.92658426,0.942
65,0.9141521,0.8703053,0.8511675,0.7760608,0.7924025,0.80057658,0.78975467,0.839
66,0.7244502,0.6820999,0.6604783,0.6714653,0.6676722,0.69424525,0.68056945,0.691
67,0.5791819,0.5347366,0.5113498,0.4867785,0.4966385,0.52690008,0.53250616,0.493
68,0.4787185,0.443264,0.4236998,0.2776517,0.262075,0.351224,0.36808294,0.306
69,0.3994523,0.3773602,0.372853,0.218912,0.2297778,0.29359333,0.3239971,0.25
70,0.5628749,0.5335456,0.5247833,0.4072238,0.4250811,0.46179367,0.45905803,0.398
71,0.6336894,0.6024357,0.5886544,0.5971945,0.5918328,0.61231067,0.61018149,0.595
72,0.6965805,0.6622881,0.6390025,0.6532077,0.6402717,0.76875833,0.78427344,0.757
73,0.9319965,0.8989606,0.879897,0.8737595,0.8663163,0.89965733,0.89693292,0.904
74,0.90581,0.8749763,0.8639041,0.817346,0.8229933,0.95975575,0.94671017,0.975
75,1.191339,1.1573936,1.160619,1.0142809,1.003104,0.97386258,0.98873858,0.986
76,1.1438091,1.1049573,1.0975639,0.9751336,0.983801,0.94776942,0.93162472,0.918
77,0.8746585,0.8407161,0.8289948,0.7887037,0.8035138,0.79703642,0.7932349,0.784
78,0.6869767,0.6517315,0.6330467,0.6594051,0.6526497,0.68890967,0.67404512,0.672
79,0.5317988,0.4942691,0.4737611,0.4493522,0.4591779,0.52806525,0.50729399,0.526
80,0.4205215,0.3955657,0.3857313,0.2644331,0.2508359,0.34326892,0.34300598,0.352
81,0.3807721,0.3611534,0.3576151,0.2036282,0.2124582,0.30153342,0.31677997,0.307
82,0.5142991,0.4927816,0.4889669,0.3786788,0.3985223,0.45276483,0.44673002,0.472
83,0.6824472,0.6510856,0.6417336,0.6521792,0.6502329,0.62175683,0.61012774,0.629
84,0.7335634,0.6987538,0.6819321,0.699949,0.6915046,0.77298925,0.77097325,0.771
85,0.9863961,0.9545214,0.9538421,0.8806241,0.8947654,0.91671925,0.87743846,0.911
86,1.1941484,1.173511,1.1878523,0.955032,0.9135717,0.96119533,0.9939515,0.997
87,1.0576216,1.0242161,1.0297665,0.9731743,0.9742091,0.97813242,0.97827637,0.978
88,1.063958,1.0235904,1.0161606,0.9513546,0.9585806,0.94209292,0.91163919,0.93
89,0.8330565,0.8060165,0.7994584,0.7708099,0.7841542,0.793295,0.78958354,0.812
90,0.6874506,0.6591564,0.6525692,0.6823584,0.6849423,0.6975685,0.69847704,0.712
91,0.5083571,0.4865712,0.4772363,0.4739627,0.4831447,0.51999642,0.5129069,0.54
92,0.3734099,0.3643161,0.366989,0.2771096,0.2597812,0.33710933,0.35151156,0.324
93,0.3551827,0.3578309,0.3715128,0.2652512,0.2737004,0.28369717,0.3576036,0.296
94,0.4298922,0.4224754,0.4341161,0.3771225,0.3859378,0.43839742,0.42803018,0.438
95,0.6544384,0.6355611,0.641227,0.687921,0.6857159,0.641887,0.59474754,0.611
96,0.7993402,0.7879695,0.7899314,0.7738706,0.7861216,0.777399,0.781913,0.727
97,0.8048423,0.7913529,0.7901966,0.8464773,0.8373877,0.89468025,0.88362283,0.843
98,0.9294279,0.9046129,0.9015185,0.8587749,0.8770635,0.95250575,0.95433687,0.959
99,1.0302486,1.0286318,1.0386087,0.9688255,0.9639916,0.96588275,0.95367577,0.99
100,1.0070286,1.00922,1.017588,0.9106361,0.8921922,0.92360842,0.88751195,0.923
101,0.7947081,0.7958541,0.7916951,0.7532444,0.7684659,0.79451375,0.80379073,0.798
102,0.6399377,0.6392963,0.6258985,0.659428,0.6533741,0.68097325,0.68790618,0.669
103,0.4828637,0.4810792,0.4651742,0.4532989,0.4627589,0.50752108,0.50705249,0.498
104,0.379936,0.3793074,0.3721573,0.2605692,0.2455157,0.32809133,0.33152777,0.345
105,0.3739646,0.3743197,0.373656,0.2251407,0.2356531,0.28566425,0.297997,0.304
106,0.5837015,0.57437,0.5650398,0.4445719,0.4679905,0.45858517,0.48292504,0.444
107,0.7446263,0.7311398,0.7078488,0.661175,0.6664679,0.62464283,0.65003682,0.62
108,0.6959211,0.6870893,0.6552657,0.6284163,0.6204645,0.76054275,0.78381786,0.804
109,1.0089312,0.9936084,0.9667764,0.9269574,0.9329597,0.89447842,0.91724567,0.909
110,0.9282072,0.9387208,0.9563755,0.8001781,0.7418835,0.94166392,0.93970232,0.953
111,1.0949967,1.0954462,1.1043132,0.9820306,0.951728,0.97245233,0.96465304,0.946
112,0.930079,0.9297469,0.9279672,0.8553163,0.8512377,0.9071445,0.89929771,0.859
113,0.8237796,0.8210834,0.8105077,0.7831107,0.7955323,0.79164892,0.80218995,0.756
114,0.6157052,0.6136423,0.6018601,0.6493361,0.6425801,0.68186858,0.68827626,0.692
115,0.4488655,0.4481471,0.4366583,0.4279182,0.4364626,0.50219692,0.49889825,0.524
116,0.3108993,0.312898,0.3103614,0.1928124,0.1764045,0.32930958,0.30065689,0.344
117,0.305208,0.3076236,0.3143116,0.1768691,0.1860534,0.2810925,0.2682689,0.275
118,0.4537183,0.4512717,0.4504045,0.3492888,0.3634008,0.41763858,0.42169376,0.42
119,0.7203259,0.7079143,0.6965361,0.6877745,0.6926284,0.61534133,0.64503963,0.603
120,0.6803754,0.6728913,0.6512471,0.6578052,0.6487947,0.75877642,0.78634006,0.784
121,0.911411,0.8994968,0.8835708,0.8995199,0.8950008,0.88765958,0.91195915,0.895
122,1.1132163,1.102562,1.0965433,0.9368358,0.9803125,0.95765783,0.96684737,0.959
123,0.8987231,0.8977228,0.895639,0.9267926,0.9043451,0.946414,0.94947671,0.982
124,0.7801366,0.7788223,0.7789048,0.8341761,0.810112,0.88865008,0.90773653,0.885
125,0.6815512,0.682169,0.6766836,0.7002949,0.6958071,0.76441442,0.79648006,0.772
126,0.57735,0.5775952,0.5725217,0.6360273,0.6261752,0.66199242,0.678646,0.645
127,0.4189998,0.4193161,0.4183935,0.437687,0.4463479,0.4800825,0.49530919,0.454
128,0.322779,0.3253494,0.3310813,0.2438766,0.2281259,0.31650125,0.31500804,0.258
129,0.3005734,0.3030372,0.3185049,0.2086225,0.2206857,0.27432975,0.2704172,0.205
130,0.416526,0.4148817,0.4247107,0.3497067,0.3675266,0.41572875,0.40641367,0.392
131,0.6395136,0.632318,0.6302016,0.6454647,0.6472691,0.60680825,0.62981845,0.6
132,0.7648377,0.7553742,0.7433229,0.7494365,0.7505531,0.76329283,0.79510992,0.762
133,0.8370048,0.8380091,0.849864,0.8732502,0.8801016,0.8886505,0.90312695,0.862
134,1.0050908,1.0032032,1.0166295,0.8962887,0.9307098,0.95597425,0.95544847,0.933
135,1.0080722,1.0022837,1.0104914,0.980657,0.9838497,0.96275225,0.95498877,0.946
136,0.9307229,0.9317039,0.938508,0.8902176,0.8904147,0.91006467,0.88398396,0.902
137,0.729591,0.7321963,0.7323385,0.711279,0.7227104,0.77366892,0.78092383,0.791
138,0.5762117,0.5778162,0.5759819,0.6376079,0.6301987,0.65979733,0.67851332,0.682
139,0.4666423,0.4671619,0.4700284,0.5045474,0.5145989,0.51223567,0.55105846,0.474
140,0.3653526,0.3661766,0.3745887,0.3028946,0.2888381,0.33943125,0.34578032,0.308
141,0.3030031,0.3065044,0.3221828,0.2013407,0.2119772,0.273315,0.27397534,0.232
142,0.4159087,0.4132055,0.4195778,0.3239475,0.3422084,0.42251808,0.39799828,0.397
143,0.6091267,0.5992919,0.5952486,0.6016216,0.6064763,0.58283583,0.60461478,0.584
144,0.7206598,0.7078016,0.6920752,0.6989823,0.6996724,0.75839883,0.79010531,0.749
145,0.7970908,0.794502,0.7881591,0.838382,0.821778,0.89260233,0.90071777,0.884
146,0.9347498,0.9251983,0.9188744,0.8778099,0.8889414,0.95396575,0.95008764,0.95
147,0.9227154,0.9193891,0.9278134,0.944116,0.936097,0.95898517,0.96211594,0.951
148,0.8822352,0.9057732,0.9073664,0.90335,0.9007555,0.90218933,0.91394226,0.887
149,0.7559335,0.7767692,0.7751838,0.7985886,0.8057504,0.76996283,0.78362724,0.771
150,0.5437534,0.5583342,0.5506611,0.6228478,0.6116677,0.65862008,0.66645843,0.685
151,0.3971061,0.414896,0.4092053,0.4193069,0.429661,0.422773,0.49185575,0.539
152,0.3250092,0.3464252,0.3483486,0.2470874,0.2327158,0.32111425,0.33891785,0.348
153,0.3392593,0.3784069,0.3925258,0.2876982,0.3016208,0.30118767,0.37727619,0.312
154,0.4247697,0.462236,0.4665331,0.3697285,0.3900907,0.42484033,0.41369603,0.459
155,0.5470092,0.579002,0.5780321,0.5988336,0.5953351,0.59278092,0.57010474,0.624
156,0.6434358,0.6656442,0.6556302,0.6689927,0.6649491,0.754174,0.74569026,0.786
157,0.6900994,0.7082985,0.7003533,0.783503,0.7580342,0.84219242,0.86944748,0.905
158,0.7511566,0.774873,0.7764039,0.7970067,0.7888852,0.92968425,0.93421563,0.968
159,0.845704,0.8746314,0.8754705,0.9243091,0.8986708,0.94014967,0.94701805,0.978
160,0.7196392,0.7477772,0.7495444,0.8314618,0.7999523,0.87631383,0.89677852,0.919
161,0.6308622,0.6524479,0.6543056,0.7182214,0.7079936,0.70521883,0.76182066,0.783
162,0.5217803,0.5400083,0.5452138,0.6248916,0.6147327,0.6686665,0.66037686,0.663
163,0.3688316,0.3872686,0.3934381,0.4015381,0.4101462,0.50233283,0.47255416,0.472
164,0.2907418,0.3162915,0.3207441,0.2098884,0.199008,0.28639408,0.28423484,0.3
165,0.2398459,0.2752278,0.2904056,0.1576965,0.1715521,0.2590465,0.22092818,0.226
166,0.3254199,0.3559155,0.3696719,0.280062,0.2935405,0.38563033,0.35682565,0.417
167,0.5090325,0.5410943,0.5522247,0.6165612,0.6088259,0.58812417,0.56292298,0.619
168,0.7004428,0.7137937,0.7230351,0.7376503,0.7406401,0.76101258,0.75484622,0.779
169,0.6893247,0.709344,0.7026583,0.7897163,0.7639347,0.87763808,0.86563955,0.891
170,0.729938,0.7620166,0.7601719,0.8029394,0.795578,0.92420375,0.90647909,0.958
171,0.922091,0.9545406,0.9621163,0.9758335,0.9678696,0.94735325,0.95046626,0.957
172,0.893837,0.9181096,0.9347336,0.905769,0.9078092,0.90284517,0.91010109,0.904
173,0.6639758,0.6850336,0.6863303,0.7301615,0.723081,0.72380625,0.76567162,0.803
174,0.5588879,0.5788147,0.5861089,0.6646095,0.656959,0.66684925,0.66866495,0.675
175,0.3908436,0.4069964,0.4168453,0.4477401,0.4565861,0.496281,0.4890152,0.508
176,0.2425234,0.2613666,0.276482,0.1907487,0.177383,0.28791983,0.25081417,0.325
177,0.2335708,0.2654445,0.2891067,0.1801579,0.1941053,0.25550683,0.23109523,0.285
178,0.3710746,0.4031346,0.4256318,0.365433,0.3860899,0.41681017,0.38965475,0.427
179,0.5915782,0.6209455,0.635154,0.6762927,0.6776513,0.58033133,0.57229486,0.603
180,0.710819,0.7290543,0.7410689,0.7796809,0.7864378,0.75007458,0.73531204,0.775
181,0.6786535,0.6935895,0.6988991,0.8048117,0.7807778,0.87066017,0.85759684,0.88
182,0.7734033,0.7923481,0.7974065,0.8129416,0.8072338,0.92709542,0.93416204,0.931
183,0.8617029,0.8941672,0.9023055,0.9662341,0.9475919,0.94154108,0.94671904,0.934
184,0.7841697,0.8016491,0.8179086,0.8495739,0.8405897,0.88616642,0.89661228,0.869
185,0.6244531,0.6406039,0.6461604,0.6917817,0.6856053,0.75445642,0.75517776,0.751
186,0.5341333,0.5486575,0.5557433,0.6378259,0.6287323,0.65843983,0.65274829,0.629
187,0.3806415,0.3943054,0.4037515,0.4432722,0.4522711,0.47037533,0.47829888,0.433
188,0.2682409,0.2875414,0.3098258,0.2537086,0.2402826,0.28361842,0.27776998,0.253
189,0.2020516,0.2254898,0.2484337,0.1319649,0.1426122,0.241678,0.19234144,0.2
190,0.327162,0.3538083,0.3756468,0.3116203,0.3276792,0.37966208,0.35737623,0.34
191,0.5091106,0.5319653,0.5472128,0.6090774,0.6028195,0.56616425,0.5485732,0.574
192,0.6737166,0.6909255,0.7014811,0.7527781,0.75302,0.74631108,0.74095893,0.747
193,0.6912823,0.7123317,0.713206,0.8248717,0.8040611,0.87040142,0.84593451,0.847
194,0.784783,0.8101057,0.8056702,0.8226232,0.818785,0.92715783,0.92428881,0.925
195,0.7541594,0.7830097,0.7800194,0.8878418,0.8506206,0.92203058,0.93075897,0.923
196,0.8098853,0.8437716,0.8506272,0.9131981,0.9009458,0.9086125,0.90373089,0.851
197,0.6702145,0.6797903,0.6869327,0.7269465,0.7259253,0.76261808,0.76734156,0.76
198,0.5284884,0.5380481,0.5418013,0.6270806,0.6171671,0.64579508,0.65687868,0.68
199,0.4227929,0.4261246,0.4263489,0.4426867,0.4520071,0.47729467,0.48205721,0.526
200,0.3334769,0.3480231,0.360291,0.3052493,0.2916392,0.30338967,0.35126059,0.368
201,0.2808086,0.2993233,0.3199876,0.2279812,0.2419648,0.25473617,0.27169086,0.32
202,0.5035701,0.5188648,0.5321004,0.4641563,0.4885283,0.44022058,0.45624638,0.446
203,0.5187625,0.5254691,0.533638,0.5864687,0.5795323,0.58382408,0.56695625,0.546
204,0.6716606,0.6743345,0.678165,0.7259331,0.7211282,0.75093242,0.74625403,0.742
205,0.770793,0.7755804,0.7767048,0.8555977,0.8407407,0.87663683,0.86079011,0.867
206,0.7483121,0.7563759,0.7557233,0.7899124,0.7803288,0.89414442,0.93025551,0.948
207,0.7880994,0.8056687,0.8062215,0.9028844,0.8685726,0.90882483,0.95940676,0.95
208,0.7655436,0.7783834,0.7792328,0.8564241,0.828527,0.88059233,0.86304001,0.878
209,0.6622095,0.6829609,0.6962755,0.7470681,0.7507158,0.7570125,0.76422566,0.768
210,0.476057,0.4992296,0.5147496,0.6229201,0.6124311,0.63892558,0.64363328,0.653
211,0.343837,0.3680192,0.382953,0.4409179,0.4506179,0.45221183,0.46131295,0.466
212,0.2217166,0.2466016,0.2702967,0.2112591,0.1960875,0.27845217,0.28300993,0.297
213,0.1613062,0.1940202,0.2319204,0.1533728,0.1623708,0.21800283,0.20970862,0.249
214,0.3345852,0.3668739,0.3943788,0.3501134,0.3701493,0.36420442,0.39044007,0.381
215,0.4003901,0.4263287,0.4464196,0.5380851,0.5279446,0.55325033,0.55265951,0.568
216,0.6815819,0.7004188,0.7123903,0.7637357,0.767471,0.73550242,0.72756542,0.76
217,0.7462507,0.7681025,0.7778584,0.8716127,0.8623896,0.85754083,0.84368252,0.891
218,0.887649,0.9129236,0.935161,0.8637256,0.8911294,0.91772858,0.92753752,0.973
219,0.8476014,0.8782231,0.9039824,0.9032667,0.8933253,0.92385983,0.94043148,0.961
220,0.7985063,0.8220393,0.8417143,0.8142851,0.8074674,0.84725333,0.86612959,0.904
221,0.7261717,0.7458192,0.7567965,0.7419248,0.7581938,0.76604883,0.75699697,0.8
222,0.5405967,0.5609297,0.5678557,0.6389045,0.6347827,0.63186717,0.64077178,0.65
223,0.4169093,0.4302124,0.4323769,0.4432442,0.4517028,0.51206908,0.45836078,0.467
224,0.3208579,0.3368255,0.3449615,0.2627076,0.2451838,0.2969115,0.31019691,0.315
225,0.2957668,0.3098806,0.325166,0.2082118,0.214609,0.26674017,0.26545898,0.237
226,0.4057375,0.414866,0.4205586,0.3397147,0.3510647,0.36317308,0.37759894,0.39
227,0.5028242,0.5115237,0.5122639,0.5677275,0.5558147,0.55275392,0.55145625,0.549
228,0.7014699,0.6954934,0.6818983,0.6984029,0.689616,0.72886075,0.74184304,0.734
229,0.9244176,0.921071,0.9060089,0.9032391,0.903335,0.868487,0.86407491,0.862
230,1.0711947,1.0757651,1.0769701,0.8938603,0.9255202,0.92891292,0.94064118,0.938
231,1.0270829,1.0458598,1.050848,0.9851564,0.9860594,0.93751633,0.93663309,0.945
232,0.9793021,0.9853039,0.9792764,0.9168612,0.919678,0.88920833,0.88060976,0.919
233,0.8007079,0.8033544,0.8002168,0.7509297,0.7674651,0.77319842,0.7731111,0.813
234,0.6077727,0.606175,0.5948605,0.6349382,0.6266526,0.65073275,0.65168377,0.656
235,0.496234,0.4866167,0.4675943,0.4384188,0.4474348,0.47695933,0.45426371,0.473
236,0.3533281,0.3526776,0.3489521,0.2318682,0.2156919,0.30927642,0.28641564,0.292
237,0.2990318,0.3070457,0.3170487,0.1810765,0.1911804,0.23636283,0.23463201,0.204
238,0.4591058,0.4623106,0.462441,0.3594953,0.376044,0.37910283,0.38460319,0.402
239,0.6506213,0.6498446,0.6427982,0.6479907,0.6450376,0.572021,0.57060553,0.577
240,0.7846956,0.7721698,0.7479929,0.7114657,0.7128496,0.73453183,0.76186132,0.724
241,0.8155293,0.8065418,0.7886652,0.8364764,0.8186347,0.87011758,0.85975146,0.851
242,0.7979572,0.7993519,0.7898923,0.791012,0.7825169,0.91191925,0.92502649,0.924
243,0.9023534,0.9114653,0.908632,0.9314133,0.9135167,0.93203733,0.94820783,0.931
244,0.9040459,0.9096756,0.9022264,0.8990067,0.8865961,0.88489758,0.87142964,0.878
