observation,year,month,date,Area,Rainfall,Daylight,Population,CO2,Ozone,OceanTemperature_NorthernHemisphere,LandTemperature_Northern Hemisphere,MaxTemperature_NorthSlopeAlaska,AvgTemperature_NorthSlopeAlaska,MinTemperature_NorthSlopeAlaska,GDP_WORLD
163,1993,7,01/07/1993,0.337,1,0.994,0.3421,0.26174,0.2205,0.2344,0.2982,1,1,0.986,0.20114589
164,1993,8,01/08/1993,0.205,0.85,0.775,0.344,0.24086,0.05319,0.1797,0.2932,0.8295,0.8591,0.8784,0.20158067
165,1993,9,01/09/1993,0.189,0.4,0.563,0.346,0.22096,0,0.1875,0.2356,0.7021,0.732,0.752,0.20201545
166,1993,10,01/10/1993,0.405,0.35,0.35,0.348,0.22207,0.07749,0.1641,0.3008,0.5759,0.6048,0.6281,0.20245023
167,1993,11,01/11/1993,0.621,0.2,0.144,0.35,0.23801,0.25444,0.2031,0.1078,0.392,0.3895,0.3813,0.20288501
168,1993,12,01/12/1993,0.789,0.25,0,0.3519,0.25655,0.49142,0.1953,0.416,0.2802,0.299,0.3146,0.20331979
169,1994,1,01/01/1994,0.911,0.1,0.088,0.3539,0.27299,0.32314,0.2188,0.391,0.2458,0.252,0.255,0.20537338
170,1994,2,01/02/1994,0.967,0.1,0.288,0.3559,0.28139,0.38816,0.2578,0.1504,0.2481,0.2463,0.2421,0.20742698
171,1994,3,01/03/1994,0.97,0,0.494,0.3579,0.29461,0.59107,0.2734,0.4987,0.2193,0.2085,0.193,0.20948057
172,1994,4,01/04/1994,0.914,0.05,0.706,0.3599,0.30994,0.73926,0.3359,0.4261,0.4286,0.4238,0.4129,0.21153416
173,1994,5,01/05/1994,0.805,0.2,0.925,0.3618,0.31513,0.45096,0.2969,0.4261,0.66,0.6793,0.6889,0.21358775
174,1994,6,01/06/1994,0.633,0.65,1.088,0.3638,0.30475,0.39379,0.3203,0.4311,0.845,0.8568,0.8561,0.21564134
175,1994,7,01/07/1994,0.393,1,0.994,0.3658,0.28707,0.25159,0.3672,0.3459,0.9756,0.9714,0.9532,0.21769493
176,1994,8,01/08/1994,0.242,0.85,0.775,0.3678,0.26335,0.08021,0.3906,0.3484,0.887,0.9118,0.9251,0.21974852
177,1994,9,01/09/1994,0.237,0.4,0.563,0.3697,0.24197,0.01621,0.3594,0.3584,0.6822,0.7148,0.738,0.22180212
178,1994,10,01/10/1994,0.419,0.35,0.35,0.3716,0.24617,0.0745,0.4297,0.4411,0.4518,0.4731,0.4889,0.22385571
179,1994,11,01/11/1994,0.635,0.2,0.144,0.3736,0.26421,0.24645,0.3828,0.4561,0.2503,0.2509,0.2491,0.2259093
180,1994,12,01/12/1994,0.79,0.25,0,0.3755,0.28213,0.45029,0.3906,0.3634,0.2038,0.2039,0.2,0.22796289
181,1995,1,01/01/1995,0.903,0.1,0.088,0.3775,0.29375,0.35007,0.4219,0.5664,0.2436,0.2474,0.2468,0.23130803
182,1995,2,01/02/1995,0.954,0.1,0.288,0.3795,0.30536,0.37789,0.4453,0.7744,0.2425,0.2291,0.2105,0.23465317
183,1995,3,01/03/1995,0.951,0,0.494,0.3815,0.31735,0.49982,0.4063,0.5088,0.2447,0.2165,0.1836,0.23799831
184,1995,4,01/04/1995,0.869,0.05,0.706,0.3834,0.33552,0.64623,0.4609,0.4536,0.5194,0.5143,0.5018,0.24134345
185,1995,5,01/05/1995,0.739,0.2,0.925,0.3854,0.34034,0.4816,0.3672,0.391,0.7254,0.7434,0.752,0.24468859
186,1995,6,01/06/1995,0.568,0.65,1.088,0.3874,0.33416,0.38526,0.4063,0.4662,0.8605,0.8786,0.8854,0.24803373
187,1995,7,01/07/1995,0.326,1,0.994,0.3894,0.315,0.23993,0.4375,0.3634,0.9424,0.953,0.9509,0.25137887
188,1995,8,01/08/1995,0.198,0.85,0.775,0.3914,0.28386,0.10724,0.4766,0.4561,0.8549,0.8694,0.8725,0.25472401
189,1995,9,01/09/1995,0.176,0.4,0.563,0.3933,0.27212,0.03247,0.3906,0.4085,0.7829,0.8053,0.8175,0.25806915
190,1995,10,01/10/1995,0.312,0.35,0.35,0.3953,0.2699,0.0745,0.3906,0.4762,0.5238,0.5533,0.5766,0.26141428
191,1995,11,01/11/1995,0.576,0.2,0.144,0.3973,0.28794,0.22483,0.3906,0.4612,0.3477,0.3585,0.3637,0.26475942
192,1995,12,01/12/1995,0.755,0.25,0,0.3993,0.30314,0.40911,0.3516,0.4085,0.2137,0.2257,0.2351,0.26810456
193,1996,1,01/01/1996,0.848,0.1,0.088,0.4012,0.32032,0.37695,0.3438,0.2957,0.2403,0.2337,0.2246,0.26884111
194,1996,2,01/02/1996,0.92,0.1,0.288,0.4032,0.33478,0.36757,0.3594,0.4962,0.2292,0.205,0.1778,0.26957766
195,1996,3,01/03/1996,0.913,0,0.494,0.4052,0.34627,0.40862,0.3438,0.3258,0.3887,0.3517,0.3076,0.27031421
196,1996,4,01/04/1996,0.862,0.05,0.706,0.4072,0.35121,0.55315,0.3359,0.2531,0.4275,0.4032,0.3708,0.27105076
197,1996,5,01/05/1996,0.772,0.2,0.925,0.4091,0.35813,0.51219,0.3281,0.4035,0.7054,0.7136,0.7123,0.2717873
198,1996,6,01/06/1996,0.646,0.65,1.088,0.4111,0.35554,0.37673,0.3594,0.3383,0.8904,0.8992,0.8947,0.27252385
199,1996,7,01/07/1996,0.438,1,0.994,0.4131,0.33861,0.22832,0.3203,0.381,0.948,0.9519,0.9439,0.2732604
200,1996,8,01/08/1996,0.289,0.85,0.775,0.4151,0.31191,0.13426,0.375,0.3058,0.8106,0.827,0.8316,0.27399695
201,1996,9,01/09/1996,0.279,0.4,0.563,0.417,0.28905,0.04868,0.3359,0.2531,0.6545,0.6838,0.7053,0.2747335
202,1996,10,01/10/1996,0.446,0.35,0.35,0.419,0.28955,0.12863,0.2344,0.2456,0.4109,0.3986,0.3801,0.27547004
203,1996,11,01/11/1996,0.554,0.2,0.144,0.421,0.30573,0.20322,0.2813,0.3258,0.3909,0.3895,0.3825,0.27620659
204,1996,12,01/12/1996,0.75,0.25,0,0.423,0.32242,0.36798,0.2969,0.4085,0.258,0.2623,0.2632,0.27694314
205,1997,1,01/01/1997,0.869,0.1,0.088,0.4252,0.33292,0.40389,0.2813,0.4185,0.1927,0.1844,0.1731,0.27682015
206,1997,2,01/02/1997,0.96,0.1,0.288,0.4274,0.34454,0.35726,0.3438,0.4887,0.2458,0.2474,0.2456,0.27669717
207,1997,3,01/03/1997,0.948,0,0.494,0.4296,0.35047,0.31737,0.3906,0.5213,0.2403,0.2199,0.1953,0.27657418
208,1997,4,01/04/1997,0.884,0.05,0.706,0.4318,0.37321,0.46012,0.3828,0.4511,0.4972,0.4742,0.4433,0.27645119
209,1997,5,01/05/1997,0.768,0.2,0.925,0.434,0.37679,0.54283,0.4531,0.3784,0.68,0.6896,0.6912,0.27632821
210,1997,6,01/06/1997,0.591,0.65,1.088,0.4362,0.36382,0.3682,0.5,0.4135,0.887,0.8981,0.8959,0.27620522
211,1997,7,01/07/1997,0.356,1,0.994,0.4385,0.348,0.21666,0.5391,0.3684,0.9402,0.945,0.938,0.27608223
212,1997,8,01/08/1997,0.233,0.85,0.775,0.4407,0.32254,0.11331,0.5313,0.4085,0.8782,0.9084,0.9287,0.27595925
213,1997,9,01/09/1997,0.216,0.4,0.563,0.4429,0.29832,0.0665,0.5391,0.416,0.7597,0.795,0.8222,0.27583626
214,1997,10,01/10/1997,0.353,0.35,0.35,0.4451,0.30487,0.06771,0.5469,0.4662,0.4707,0.4914,0.5064,0.27571327
215,1997,11,01/11/1997,0.58,0.2,0.144,0.4473,0.32551,0.1816,0.5781,0.3835,0.4507,0.4525,0.4468,0.27559029
216,1997,12,01/12/1997,0.768,0.25,0,0.4495,0.34886,0.44667,0.5156,0.4286,0.2182,0.2279,0.2351,0.2754673
217,1998,1,01/01/1998,0.905,0.1,0.088,0.4512,0.35986,0.46556,0.5313,0.4286,0.1705,0.1741,0.1766,0.27539775
218,1998,2,01/02/1998,0.989,0.1,0.288,0.4529,0.36864,0.69982,0.5234,0.7368,0.2337,0.2291,0.2211,0.2753282
219,1998,3,01/03/1998,0.971,0,0.494,0.4547,0.38421,0.78624,0.5469,0.4737,0.392,0.3883,0.3778,0.27525864
220,1998,4,01/04/1998,0.909,0.05,0.706,0.4564,0.40175,0.7628,0.5547,0.5865,0.5659,0.5727,0.5708,0.27518909
221,1998,5,01/05/1998,0.782,0.2,0.925,0.4581,0.41115,0.65828,0.5313,0.4987,0.6844,0.7033,0.7146,0.27511954
222,1998,6,01/06/1998,0.589,0.65,1.088,0.4598,0.40583,0.44864,0.6016,0.5063,0.8738,0.8969,0.9076,0.27504999
223,1998,7,01/07/1998,0.352,1,0.994,0.4615,0.39137,0.29223,0.5781,0.5414,0.9845,0.9908,0.9825,0.27498044
224,1998,8,01/08/1998,0.198,0.85,0.775,0.4632,0.36826,0.17066,0.5859,0.5414,0.8538,0.8889,0.9135,0.27491088
225,1998,9,01/09/1998,0.164,0.4,0.563,0.4649,0.34441,0.12698,0.4609,0.4812,0.7542,0.7858,0.807,0.27484133
226,1998,10,01/10/1998,0.374,0.35,0.35,0.4666,0.34911,0.14038,0.4219,0.4361,0.5714,0.5911,0.6047,0.27477178
227,1998,11,01/11/1998,0.563,0.2,0.144,0.4683,0.36295,0.23644,0.4609,0.3333,0.4264,0.4422,0.4526,0.27470223
228,1998,12,01/12/1998,0.74,0.25,0,0.47,0.38285,0.33971,0.4063,0.6065,0.3034,0.3024,0.2982,0.27463268
229,1999,1,01/01/1999,0.887,0.1,0.088,0.472,0.39582,0.50366,0.3203,0.5514,0.1628,0.1397,0.1158,0.27588714
230,1999,2,01/02/1999,0.961,0.1,0.288,0.474,0.40744,0.79375,0.3516,0.792,0.175,0.1707,0.1637,0.27714161
231,1999,3,01/03/1999,0.969,0,0.494,0.476,0.41436,0.80085,0.3828,0.3208,0.2381,0.2245,0.207,0.27839607
232,1999,4,01/04/1999,0.935,0.05,0.706,0.478,0.43055,0.71505,0.3438,0.5213,0.4252,0.4101,0.3895,0.27965054
233,1999,5,01/05/1999,0.805,0.2,0.925,0.4799,0.43018,0.65569,0.3203,0.4386,0.6755,0.693,0.7018,0.280905
234,1999,6,01/06/1999,0.595,0.65,1.088,0.4819,0.42202,0.39924,0.3203,0.4135,0.8815,0.8946,0.8947,0.28215947
235,1999,7,01/07/1999,0.36,1,0.994,0.4839,0.41152,0.23484,0.2969,0.4311,0.9513,0.9588,0.9532,0.28341394
236,1999,8,01/08/1999,0.204,0.85,0.775,0.4859,0.38,0.13595,0.3359,0.3935,0.8948,0.9141,0.9228,0.2846684
237,1999,9,01/09/1999,0.164,0.4,0.563,0.4878,0.35418,0.06722,0.3438,0.4085,0.7564,0.7766,0.7871,0.28592287
238,1999,10,01/10/1999,0.385,0.35,0.35,0.4898,0.3611,0.10554,0.3047,0.4361,0.4817,0.5109,0.5357,0.28717733
239,1999,11,01/11/1999,0.596,0.2,0.144,0.4918,0.37778,0.24627,0.2969,0.4712,0.309,0.3116,0.3099,0.2884318
240,1999,12,01/12/1999,0.747,0.25,0,0.4938,0.39483,0.23269,0.2813,0.6642,0.1417,0.1443,0.1439,0.28968626
241,2000,1,01/01/2000,0.861,0.1,0.088,0.4957,0.40954,0.42247,0.2734,0.4336,0.2381,0.2371,0.2327,0.29082087
242,2000,2,01/02/2000,0.93,0.1,0.288,0.4977,0.41275,0.41501,0.3828,0.619,0.2846,0.2887,0.2877,0.29195548
243,2000,3,01/03/2000,0.936,0,0.494,0.4997,0.42573,0.56753,0.3906,0.6115,0.2957,0.2932,0.2877,0.29309009
244,2000,4,01/04/2000,0.887,0.05,0.706,0.5017,0.44081,0.56704,0.3828,0.6792,0.4408,0.4238,0.4012,0.2942247
245,2000,5,01/05/2000,0.768,0.2,0.925,0.5036,0.43784,0.51251,0.3828,0.5113,0.5969,0.6082,0.6105,0.29535931
246,2000,6,01/06/2000,0.578,0.65,1.088,0.5056,0.43932,0.38754,0.3516,0.4261,0.9014,0.9141,0.9135,0.29649392
247,2000,7,01/07/2000,0.346,1,0.994,0.5076,0.41658,0.2059,0.4063,0.4236,0.9136,0.9301,0.9333,0.29762853
248,2000,8,01/08/2000,0.206,0.85,0.775,0.5096,0.39521,0.10264,0.4453,0.4386,0.8261,0.8591,0.8819,0.29876314
249,2000,9,01/09/2000,0.169,0.4,0.563,0.5115,0.38124,0.0448,0.4375,0.3759,0.7021,0.7354,0.7591,0.29989775
250,2000,10,01/10/2000,0.372,0.35,0.35,0.5135,0.38161,0.10554,0.4063,0.2857,0.5116,0.5269,0.5357,0.30103236
251,2000,11,01/11/2000,0.562,0.2,0.144,0.5155,0.39817,0.42599,0.3672,0.2481,0.3776,0.3952,0.4094,0.30216697
252,2000,12,01/12/2000,0.744,0.25,0,0.5175,0.41424,0.41032,0.3828,0.3033,0.3178,0.3402,0.3602,0.30330158
253,2001,1,01/01/2001,0.865,0.1,0.088,0.5194,0.42561,0.54283,0.3359,0.4662,0.3134,0.331,0.345,0.30309541
254,2001,2,01/02/2001,0.941,0.1,0.288,0.5214,0.43697,0.88383,0.3672,0.3835,0.3787,0.3711,0.3579,0.30288924
255,2001,3,01/03/2001,0.977,0,0.494,0.5233,0.44871,0.76543,0.4219,0.6291,0.247,0.2428,0.2351,0.30268307
256,2001,4,01/04/2001,0.926,0.05,0.706,0.5253,0.45996,0.73122,0.3984,0.5338,0.4485,0.4387,0.4211,0.3024769
257,2001,5,01/05/2001,0.781,0.2,0.925,0.5272,0.46577,0.61215,0.4219,0.5815,0.5592,0.5659,0.5649,0.30227073
258,2001,6,01/06/2001,0.581,0.65,1.088,0.5292,0.45811,0.41907,0.4688,0.4411,0.8782,0.8877,0.8865,0.30206456
259,2001,7,01/07/2001,0.338,1,0.994,0.5311,0.43685,0.2339,0.5469,0.4787,0.9291,0.9416,0.9427,0.30185839
260,2001,8,01/08/2001,0.22,0.85,0.775,0.5331,0.41349,0.1469,0.5391,0.5088,0.8394,0.8706,0.8924,0.30165222
261,2001,9,01/09/2001,0.19,0.4,0.563,0.535,0.39582,0.10165,0.5234,0.4461,0.7497,0.7824,0.8058,0.30144605
262,2001,10,01/10/2001,0.369,0.35,0.35,0.5369,0.39916,0.11822,0.5234,0.4286,0.4529,0.4765,0.4947,0.30123988
263,2001,11,01/11/2001,0.581,0.2,0.144,0.5389,0.41535,0.22957,0.4766,0.6892,0.3544,0.3631,0.3673,0.30103371
264,2001,12,01/12/2001,0.708,0.25,0,0.5408,0.43364,0.47611,0.4922,0.4887,0.2492,0.252,0.2526,0.30082754
265,2002,1,01/01/2002,0.857,0.1,0.088,0.5428,0.44958,0.58388,0.4063,0.7018,0.2259,0.2245,0.2199,0.3022052
266,2002,2,01/02/2002,0.958,0.1,0.288,0.5448,0.45786,0.75051,0.3906,0.8271,0.2237,0.2314,0.2363,0.30358286
267,2002,3,01/03/2002,0.958,0,0.494,0.5468,0.46923,0.7021,0.5078,0.7168,0.423,0.4021,0.3754,0.30496051
268,2002,4,01/04/2002,0.87,0.05,0.706,0.5487,0.48035,0.67526,0.4609,0.4185,0.464,0.441,0.4105,0.30633817
269,2002,5,01/05/2002,0.762,0.2,0.925,0.5507,0.4895,0.56083,0.4766,0.4135,0.722,0.7297,0.7263,0.30771583
270,2002,6,01/06/2002,0.59,0.65,1.088,0.5527,0.48653,0.36253,0.5313,0.4862,0.8671,0.8774,0.876,0.30909348
271,2002,7,01/07/2002,0.351,1,0.994,0.5547,0.46787,0.25127,0.4531,0.5338,0.9369,0.9404,0.9298,0.31047114
272,2002,8,01/08/2002,0.166,0.85,0.775,0.5566,0.44118,0.09643,0.4688,0.4612,0.8505,0.8706,0.8795,0.3118488
273,2002,9,01/09/2002,0.141,0.4,0.563,0.5586,0.42758,0.05766,0.5,0.4737,0.7685,0.8018,0.8257,0.31322645
274,2002,10,01/10/2002,0.333,0.35,0.35,0.5606,0.42511,0.01335,0.5156,0.3358,0.5803,0.6071,0.6269,0.31460411
275,2002,11,01/11/2002,0.552,0.2,0.144,0.5626,0.44612,0.11505,0.5078,0.5163,0.4618,0.4834,0.4982,0.31598177
276,2002,12,01/12/2002,0.716,0.25,0,0.5646,0.46515,0.228,0.5313,0.3233,0.3466,0.3631,0.3743,0.31735943
277,2003,1,01/01/2003,0.86,0.1,0.088,0.5665,0.47862,0.46766,0.4766,0.6391,0.3145,0.3104,0.3018,0.32190605
278,2003,2,01/02/2003,0.942,0.1,0.288,0.5685,0.48801,0.5724,0.3984,0.4887,0.2547,0.2692,0.2807,0.32645267
279,2003,3,01/03/2003,0.958,0,0.494,0.5705,0.49802,0.6632,0.4844,0.4862,0.2913,0.2761,0.2561,0.3309993
280,2003,4,01/04/2003,0.875,0.05,0.706,0.5725,0.51384,0.7456,0.4609,0.4762,0.5172,0.5109,0.4971,0.33554592
281,2003,5,01/05/2003,0.738,0.2,0.925,0.5744,0.52459,0.64225,0.5313,0.5063,0.6545,0.6827,0.7018,0.34009254
282,2003,6,01/06/2003,0.583,0.65,1.088,0.5764,0.52064,0.45824,0.5313,0.4085,0.887,0.8981,0.8971,0.34463917
283,2003,7,01/07/2003,0.326,1,0.994,0.5784,0.50111,0.25494,0.6094,0.4486,0.928,0.9416,0.9439,0.34918579
284,2003,8,01/08/2003,0.184,0.85,0.775,0.5804,0.47244,0.13711,0.6719,0.5313,0.8439,0.8706,0.8877,0.35373241
285,2003,9,01/09/2003,0.143,0.4,0.563,0.5823,0.45749,0.08245,0.6719,0.4812,0.7099,0.7411,0.7626,0.35827904
286,2003,10,01/10/2003,0.311,0.35,0.35,0.5843,0.45712,0.14435,0.6641,0.589,0.6035,0.6357,0.6608,0.36282566
287,2003,11,01/11/2003,0.536,0.2,0.144,0.5863,0.4759,0.1536,0.6172,0.4185,0.3898,0.3918,0.3883,0.36737228
288,2003,12,01/12/2003,0.73,0.25,0,0.5883,0.49234,0.36717,0.5469,0.6917,0.2614,0.2738,0.2819,0.37191891
289,2004,1,01/01/2004,0.857,0.1,0.088,0.5902,0.50482,0.57539,0.5,0.5113,0.2602,0.2635,0.2632,0.37720344
290,2004,2,01/02/2004,0.916,0.1,0.288,0.5922,0.51557,0.60071,0.5,0.6591,0.1595,0.1672,0.1731,0.38248797
291,2004,3,01/03/2004,0.921,0,0.494,0.5942,0.52805,0.65543,0.4844,0.6416,0.2602,0.2463,0.2292,0.3877725
292,2004,4,01/04/2004,0.849,0.05,0.706,0.5962,0.54622,0.61737,0.5313,0.4712,0.4839,0.4777,0.4643,0.39305703
293,2004,5,01/05/2004,0.741,0.2,0.925,0.5981,0.54956,0.65159,0.4766,0.4085,0.6977,0.7194,0.7333,0.39834156
294,2004,6,01/06/2004,0.594,0.65,1.088,0.6001,0.53806,0.39991,0.5078,0.391,0.9502,0.9588,0.9544,0.40362609
295,2004,7,01/07/2004,0.357,1,0.994,0.6021,0.51063,0.23649,0.6094,0.3734,0.9945,0.9989,0.9883,0.40891062
296,2004,8,01/08/2004,0.197,0.85,0.775,0.604,0.49259,0.1234,0.6406,0.3709,0.9402,0.9542,0.9544,0.41419516
297,2004,9,01/09/2004,0.172,0.4,0.563,0.606,0.47084,0.05333,0.625,0.4311,0.7065,0.7377,0.7591,0.41947969
298,2004,10,01/10/2004,0.347,0.35,0.35,0.608,0.47343,0.13569,0.6094,0.4461,0.5515,0.5842,0.6105,0.42476422
299,2004,11,01/11/2004,0.569,0.2,0.144,0.6099,0.49444,0.19996,0.5938,0.6692,0.3887,0.3986,0.4035,0.43004875
300,2004,12,01/12/2004,0.746,0.25,0,0.6119,0.51112,0.23475,0.4766,0.3985,0.2757,0.2749,0.2713,0.43533328
301,2005,1,01/01/2005,0.828,0.1,0.088,0.6138,0.52286,0.34113,0.5625,0.5489,0.2879,0.2887,0.2842,0.43925195
302,2005,2,01/02/2005,0.865,0.1,0.288,0.6158,0.53856,0.54011,0.5391,0.4211,0.2481,0.252,0.2526,0.44317063
303,2005,3,01/03/2005,0.899,0,0.494,0.6178,0.55141,0.69446,0.5469,0.6341,0.3511,0.3505,0.345,0.4470893
304,2005,4,01/04/2005,0.855,0.05,0.706,0.6197,0.57019,0.7184,0.5625,0.619,0.4596,0.4433,0.4211,0.45100797
305,2005,5,01/05/2005,0.737,0.2,0.925,0.6216,0.57217,0.55243,0.6094,0.5063,0.6977,0.7228,0.738,0.45492664
306,2005,6,01/06/2005,0.557,0.65,1.088,0.6236,0.5692,0.35382,0.625,0.5038,0.8893,0.9003,0.8994,0.45884532
307,2005,7,01/07/2005,0.304,1,0.994,0.6255,0.55104,0.19553,0.6641,0.5038,0.9347,0.9404,0.9333,0.46276399
308,2005,8,01/08/2005,0.157,0.85,0.775,0.6275,0.52632,0.09022,0.6719,0.4511,0.9092,0.9267,0.9322,0.46668266
309,2005,9,01/09/2005,0.144,0.4,0.563,0.6294,0.50111,0.02809,0.6406,0.5764,0.7287,0.7766,0.8175,0.47060134
310,2005,10,01/10/2005,0.293,0.35,0.35,0.6314,0.50482,0.14167,0.5781,0.5815,0.5426,0.5704,0.593,0.47452001
311,2005,11,01/11/2005,0.556,0.2,0.144,0.6333,0.5215,0.24632,0.5469,0.6742,0.2669,0.2761,0.2819,0.47843868
312,2005,12,01/12/2005,0.709,0.25,0,0.6353,0.54325,0.29728,0.4922,0.584,0.33,0.3425,0.3509,0.48235736
313,2006,1,01/01/2006,0.804,0.1,0.088,0.6372,0.55895,0.78754,0.4531,0.4185,0.1761,0.181,0.1825,0.48663537
314,2006,2,01/02/2006,0.865,0.1,0.288,0.6392,0.56908,0.81402,0.4922,0.6341,0.33,0.3162,0.2971,0.49091337
315,2006,3,01/03/2006,0.88,0,0.494,0.6412,0.57489,0.72573,0.4375,0.599,0.2159,0.205,0.1906,0.49519138
316,2006,4,01/04/2006,0.838,0.05,0.706,0.6432,0.59886,0.71009,0.4375,0.4737,0.3843,0.3757,0.3602,0.49946939
317,2006,5,01/05/2006,0.7,0.2,0.925,0.6451,0.60405,0.55449,0.5234,0.5138,0.6788,0.6999,0.7111,0.5037474
318,2006,6,01/06/2006,0.522,0.65,1.088,0.6471,0.59194,0.44011,0.5469,0.5739,0.8671,0.8877,0.8959,0.50802541
319,2006,7,01/07/2006,0.294,1,0.994,0.6491,0.57229,0.25172,0.5938,0.4887,0.9136,0.9324,0.9392,0.51230342
320,2006,8,01/08/2006,0.165,0.85,0.775,0.6511,0.54696,0.11371,0.625,0.4962,0.8261,0.8511,0.8655,0.51658143
321,2006,9,01/09/2006,0.139,0.4,0.563,0.653,0.52768,0.08062,0.6641,0.4937,0.7852,0.8121,0.8281,0.52085944
322,2006,10,01/10/2006,0.295,0.35,0.35,0.655,0.53114,0.2134,0.6719,0.5263,0.5891,0.6266,0.6573,0.52513745
323,2006,11,01/11/2006,0.498,0.2,0.144,0.657,0.54412,0.17959,0.6875,0.4862,0.3511,0.3562,0.3567,0.52941545
324,2006,12,01/12/2006,0.675,0.25,0,0.659,0.56438,0.39259,0.6328,0.7068,0.3056,0.3207,0.3322,0.53369346
325,2007,1,01/01/2007,0.822,0.1,0.088,0.6612,0.57761,0.53305,0.6094,0.8697,0.2481,0.2497,0.248,0.54070344
