observation,Extent
1,13.73624
2,14.57508
3,15.13848
4,14.66272
5,12.87236
6,10.59372
7,8.06468
8,5.87368
9,4.87208
10,6.97544
11,9.60464
12,11.8332
13,13.4608
14,14.36224
15,14.55004
16,14.11184
17,12.68456
18,10.74396
19,7.71412
20,5.49808
21,4.55908
22,6.46212
23,9.7674
24,12.1462
25,13.73624
26,14.55004
27,15.20108
28,14.62516
29,13.01008
30,10.66884
31,7.66404
32,4.72184
33,3.57
34,5.8862
35,9.3918
36,12.00848
37,13.69868
38,14.72532
39,15.0258
40,14.29964
41,12.99756
42,11.35744
43,8.12728
44,6.0114
45,5.21012
46,7.4512
47,9.94268
48,12.18376
49,13.6486
50,14.42484
51,14.76288
52,14.0868
53,12.69708
54,11.03192
55,8.11476
56,6.074
57,5.22264
58,7.22584
59,10.10544
60,12.34652
61,13.59852
62,14.3998
63,14.37476
64,13.88648
65,12.47172
66,10.88168
67,8.37768
68,5.59824
69,4.62168
70,6.97544
71,9.85504
72,12.04604
73,13.4608
74,14.19948
75,14.3998
76,13.68616
77,11.92084
78,10.40592
79,7.93948
80,5.37288
81,4.53404
82,6.074
83,8.66564
84,11.4576
85,13.18536
86,14.12436
87,14.28712
88,13.74876
89,12.63448
90,10.75648
91,7.93948
92,5.48556
93,4.822
94,6.77512
95,9.49196
96,11.74556
97,13.0852
98,13.97412
99,14.29964
100,13.69868
101,12.23384
102,10.78152
103,8.265
104,5.61076
105,4.78444
106,6.12408
107,9.81748
108,11.85824
109,13.57348
110,14.38728
111,14.57508
112,13.43576
113,12.18376
114,10.59372
115,7.58892
116,5.03484
117,4.35876
118,5.73596
119,9.35424
120,11.8958
121,13.6486
122,14.67524
123,14.7754
124,13.73624
125,12.35904
126,10.5812
127,7.27592
128,5.08492
129,3.92056
130,5.28524
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,